base_price,kms_driven,age,power,brand,stroke,milage,length,weight,acceleration,rent
72500,10000,10,350,1,3.07,15,250,3336,17,3625
68000,16000,9,200,9,3.07,31,79,1950,19,3400
21500,10500,5,125,0,2.07,26,122,2451,16.5,1075
40000,20000,6,160,0,3.07,32,71,1836,21,2000
91000,18000,5,350,1,3.07,25,140,2542,17,4550
300000,3500,6,750,14,3.07,16,250,3781,17,15000
47000,70000,6,150,7,2.36,16,258,3632,18,2350
53000,18158,6,150,7,2.64,18,225,3613,16.5,2650
51000,39140,5,150,7,2.64,16,302,4141,14,2550
48000,27776,8,220,6,2.64,13,350,4699,14.5,2400
55000,32734,6,220,6,2.64,14,318,4457,13.5,2750
173300,14000,2,410,1,2.64,14,302,4638,16,8665
77000,13000,8,350,1,2.64,14,304,4257,15.5,3850
115000,5000,2,200,6,2.64,29,98,2219,16.5,5750
36000,39500,7,150,6,2.64,26,79,1963,15.5,1800
72000,29500,4,220,6,2.64,26,97,2300,14.5,3600
115000,14900,3,350,1,2.64,31,76,1649,16.5,5750
65000,2000,3,125,4,2.64,32,83,2003,19,3250
99000,4000,2,150,4,3.03,28,90,2125,14.5,4950
68500,68500,7,150,3,3.03,24,90,2108,15.5,3425
140000,2473,2,150,3,3.03,26,116,2246,14,7000
130000,9221,3,200,9,3.03,24,120,2489,15,6500
46000,37128,7,200,6,3.03,26,108,2391,15.5,2300
30000,16166,6,125,5,3.03,31,79,2000,16,1500
116000,11716,3,400,6,3.03,19,225,3264,16,5800
130000,8419,3,350,1,3.03,18,250,3459,16,6500
98000,13459,5,350,1,3.35,15,250,3432,21,4900
85000,14704,6,350,1,3.35,15,250,3158,19.5,4250
110000,24676,5,410,1,3.03,16,400,4668,11.5,5500
173300,14000,2,410,1,3.03,15,350,4440,14,8665
50000,9200,4,150,6,3.03,16,318,4498,14.5,2500
100000,30294,5,350,1,3.03,14,351,4657,13.5,5000
66000,19756,8,350,1,3.03,17,231,3907,21,3300
77000,13000,8,350,1,3.08,16,250,3897,18.5,3850
92500,11000,6,350,1,3.08,15,258,3730,19,4625
57000,28948,5,200,6,3.5,18,225,3785,19,2850
72500,10000,10,350,1,3.5,21,231,3039,15,3625
80000,12000,2,160,4,3.5,20,262,3221,13.5,4000
123600,7702,3,350,1,3.5,13,302,3169,12,6180
950000,312,3,1300,7,3.5,29,97,2171,16,47500
107000,17000,4,350,1,3.5,23,140,2639,17,5350
600000,16000,5,821,12,3.54,20,232,2914,16,30000
80000,3500,3,150,3,3.35,23,140,2592,18.5,4000
75000,11050,4,150,7,3.54,24,134,2702,13.5,3750
43778,948,2,125,5,3.54,25,90,2223,16.5,2188.9
118000,11200,5,200,9,3.54,24,119,2545,17,5900
68000,10407,5,150,3,3.35,18,171,2984,14.5,3400
27000,23000,8,125,6,3.35,29,90,1937,14,1350
48500,5500,2,100,5,3.35,19,232,3211,17,2425
15000,38000,15,223,5,3.35,23,115,2694,15,750
95000,23000,5,200,9,3.4,23,120,2957,17,4750
145000,4500,4,200,9,3.4,22,121,2945,14.5,7250
62000,11227,3,150,3,3.4,25,121,2671,13.5,3100
25000,45000,9,100,5,3.4,33,91,1795,17.5,1250
700000,100,6,1198,12,3.4,28,107,2464,15.5,35000
160000,3500,3,500,1,3.4,25,116,2220,16.9,8000
47500,30000,5,220,6,3.4,25,140,2572,14.9,2375
21000,38000,9,150,3,3.4,26,98,2255,17.7,1050
18000,22000,12,125,3,3.4,27,101,2202,15.3,900
36000,54560,8,223,5,3.4,17.5,305,4215,13,1800
52000,33150,6,150,3,3.4,16,318,4190,13,2600
435000,5550,7,883,14,3.4,15.5,304,3962,13.9,21750
68000,12077,5,200,0,3.15,14.5,351,4215,12.8,3400
80000,5000,4,220,6,3.15,22,225,3233,15.4,4000
110800,13300,6,500,1,3.15,22,250,3353,14.5,5540
85000,16000,2,160,0,3.15,24,200,3012,17.6,4250
145000,4000,2,350,1,3.15,22.5,232,3085,17.6,7250
145000,3000,3,400,6,3.15,29,85,2035,22.2,7250
149000,7000,3,350,1,3.15,24.5,98,2164,22.1,7450
60000,4000,2,100,5,3.15,29,90,1937,14.2,3000
140000,11000,4,350,1,2.87,33,91,1795,17.4,7000
85000,15000,7,200,9,3.4,20,225,3651,17.7,4250
86000,15000,3,220,6,3.15,18,250,3574,21,4300
115000,15500,4,350,1,3.29,18.5,250,3645,16.2,5750
83000,500,3,150,7,3.29,17.5,258,3193,17.8,4150
85000,15000,7,200,9,3.29,29.5,97,1825,12.2,4250
86000,15000,3,220,6,3.29,32,85,1990,17,4300
115000,15500,4,350,1,3.29,28,97,2155,16.4,5750
83000,500,3,150,7,3.29,26.5,140,2565,13.6,4150
28000,35251,12,180,6,3.29,20,130,3150,15.7,1400
14500,35000,14,100,5,3.47,13,318,3940,13.2,725
32000,22000,5,110,5,3.47,19,120,3270,21.9,1600
62500,26000,5,180,6,3.27,19,156,2930,15.5,3125
122500,10000,3,150,3,3.27,16.5,168,3820,16.7,6125
24500,15000,6,100,6,3.27,16.5,350,4380,12.1,1225
78500,26000,4,200,0,3.27,13,350,4055,12,3925
102500,21000,4,350,1,3.27,13,302,3870,15,5125
28000,28428,9,110,0,3.27,13,318,3755,14,1400
130000,10149,3,350,1,3.19,31.5,98,2045,18.5,6500
130000,7036,3,350,1,3.52,30,111,2155,14.8,6500
115000,7593,4,400,6,3.19,36,79,1825,18.6,5750
96000,17000,6,200,9,3.52,25.5,122,2300,15.5,4800
29500,15798,4,100,6,2.19,33.5,85,1945,16.8,1475
100000,4800,4,150,3,3.52,17.5,305,3880,12.5,5000
177982,7000,2,410,1,2.19,17,260,4060,19,8899.1
202000,11000,2,410,1,3.52,15.5,318,4140,13.7,10100
950000,312,3,1300,7,3.19,15,302,4295,14.9,47500
113000,28000,6,200,9,3.52,17.5,250,3520,16.4,5650
45400,23000,5,220,6,3.21,20.5,231,3425,16.9,2270
105000,16000,4,350,1,3.23,19,225,3630,17.7,5250
885000,300,2,959,12,3.39,18.5,250,3525,19,44250
30000,50000,6,150,3,3.29,16,400,4220,11.1,1500
22000,22000,6,100,6,3.29,15.5,350,4165,11.4,1100
115000,10000,4,350,1,3.29,15.5,400,4325,12.2,5750
55000,3000,4,150,6,3.29,16,351,4335,14.5,2750
20000,55000,9,125,6,3.29,29,97,1940,14.5,1000
56000,16500,4,110,5,3.29,24.5,151,2740,16,2800
28000,36000,5,100,0,3.29,26,97,2265,18.2,1400
44000,7329,3,125,5,3.47,25.5,140,2755,15.8,2200
190000,8780,2,400,6,3.47,30.5,98,2051,17,9500
78000,20000,8,350,1,3.27,33.5,98,2075,15.9,3900
18787,28164,10,125,4,3.27,30,97,1985,16.4,939.35
51500,20600,6,200,6,3.27,30.5,97,2190,14.1,2575
54200,5700,6,220,6,3.27,22,146,2815,14.5,2710
175000,11277,3,500,1,3.27,21.5,121,2600,12.8,8750
48000,26000,7,220,6,3.27,21.5,80,2720,13.5,2400
40000,4000,5,110,4,3.19,43.1,90,1985,21.5,2000
102400,11600,4,400,6,3.52,36.1,98,1800,14.4,5120
65000,8800,3,150,3,3.19,32.8,78,1985,19.4,3250
170000,2100,4,390,9,3.52,39.4,85,2070,18.6,8500
12999,65000,13,150,6,2.19,36.1,91,1800,16.4,649.95
87000,20000,6,200,9,3.52,19.9,260,3365,15.5,4350
45600,18000,5,220,6,2.19,19.4,318,3735,13.2,2280
42000,58000,7,180,6,3.52,20.2,302,3570,12.8,2100
47000,24445,8,200,6,3.19,19.2,231,3535,19.2,2350
31000,34525,7,100,6,3.52,20.5,200,3155,18.2,1550
72500,19000,4,150,7,3.21,20.2,200,2965,15.8,3625
80999,4000,3,150,7,3.23,25.1,140,2720,15.4,4049.95
85000,9148,6,200,6,3.39,20.5,225,3430,17.2,4250
60000,16000,5,160,0,3.29,19.4,232,3210,17.2,3000
148999,3694,4,400,6,3.29,20.6,231,3380,15.8,7449.95
49000,7524,5,150,6,3.29,20.8,200,3070,16.7,2450
30000,23000,8,100,5,3.29,18.6,225,3620,18.7,1500
140000,12800,6,200,9,3.29,18.1,258,3410,15.1,7000
237818,1440,2,390,9,3.29,19.2,305,3425,13.2,11890.9
56000,16500,4,110,5,3.29,17.7,231,3445,13.4,2800
28000,36000,5,100,0,3.47,18.1,302,3205,11.2,1400
23600,22672,6,150,3,3.47,17.5,318,4080,13.7,1180
100000,25000,8,500,1,3.27,30,98,2155,16.5,5000
160700,10000,3,200,9,3.27,27.5,134,2560,14.2,8035
78000,34200,6,350,1,3.27,27.2,119,2300,14.7,3900
45000,7000,4,150,6,3.27,30.9,105,2230,14.5,2250
60000,3490,9,350,1,3.27,21.1,134,2515,14.8,3000
150000,7500,5,200,9,3.27,23.2,156,2745,16.7,7500
37000,13500,5,150,6,3.19,23.8,151,2855,17.6,1850
125000,11000,5,350,1,3.52,23.9,119,2405,14.9,6250
70000,56353,5,200,6,3.19,20.3,131,2830,15.9,3500
40000,25000,7,220,6,3.52,17,163,3140,13.6,2000
62000,1123,2,125,3,2.19,21.6,121,2795,15.7,3100
280000,1500,2,650,1,3.52,16.2,163,3410,15.8,14000
44000,15000,4,150,6,2.19,31.5,89,1990,14.9,2200
85000,31000,7,350,1,3.52,29.5,98,2135,16.6,4250
51000,28000,5,220,6,3.19,21.5,231,3245,15.4,2550
75000,11460,3,220,6,3.52,19.8,200,2990,18.2,3750
160000,23000,5,390,9,3.21,22.3,140,2890,17.3,8000
106000,1175,2,200,6,3.23,20.2,232,3265,18.2,5300
599999,7800,5,675,2,3.39,20.6,225,3360,16.6,29999.95
85000,15000,7,250,4,3.29,17,305,3840,15.4,4250
31500,28653,8,100,5,3.29,17.6,302,3725,13.4,1575
150000,8000,6,250,13,3.29,16.5,351,3955,13.2,7500
210000,2100,2,295,15,3.29,18.2,318,3830,15.2,10500
50000,3300,4,125,6,3.29,16.9,350,4360,14.9,2500
29300,19000,6,100,6,3.29,15.5,351,4054,14.3,1465
35740,20400,4,125,6,3.29,19.2,267,3605,15,1787
24500,25000,10,150,3,3.47,18.5,360,3940,13,1225
45000,18000,7,223,5,3.47,31.9,89,1925,14,2250
210000,12000,4,390,9,3.27,34.1,86,1975,15.2,10500
70000,56353,5,200,6,3.27,35.7,98,1915,14.4,3500
37000,13500,5,150,6,3.27,27.4,121,2670,15,1850
150000,7500,5,200,9,3.27,25.4,183,3530,20.1,7500
71000,11000,9,350,1,3.27,23,350,3900,17.4,3550
100000,25000,8,500,1,3.27,27.2,141,3190,24.8,5000
160700,10000,3,200,9,3.19,23.9,260,3420,22.2,8035
78000,34200,6,350,1,3.52,34.2,105,2200,13.2,3900
45000,7000,4,150,6,3.19,34.5,105,2150,14.9,2250
80400,5100,4,250,3,3.52,31.8,85,2020,19.2,4020
135000,2200,4,350,1,2.19,37.3,91,2130,14.7,6750
350000,3100,6,750,14,3.52,28.4,151,2670,16,17500
57000,1500,11,223,5,2.19,28.8,173,2595,11.3,2850
76000,3000,2,200,5,3.52,26.8,173,2700,12.9,3800
42100,22560,11,150,6,3.19,33.5,151,2556,13.2,2105
73000,16658,6,150,3,3.52,41.5,98,2144,14.7,3650
366000,3135,3,302,8,3.21,38.1,89,1968,18.8,18300
61200,29000,3,160,4,3.23,32.1,98,2120,15.5,3060
82000,29860,7,350,1,3.39,37.2,86,2019,16.4,4100
120000,12000,5,350,1,3.29,28,151,2678,16.5,6000
40000,25000,7,220,6,3.29,26.4,140,2870,18.1,2000
80000,7000,3,160,0,3.29,24.3,151,3003,20.1,4000
81800,3700,2,150,7,3.29,19.1,225,3381,18.7,4090
45900,27000,6,220,6,3.29,34.3,97,2188,15.8,2295
125000,11000,5,350,1,3.29,29.8,134,2711,15.5,6250
86200,9300,4,200,6,3.29,31.3,120,2542,17.5,4310
40000,9000,3,100,5,3.47,37,119,2434,15,2000
10000,21389,12,150,5,3.47,32.2,108,2265,15.2,500
155000,13500,5,250,13,3.27,46.6,86,2110,17.9,7750
46000,24374,6,200,6,3.27,27.9,156,2800,14.4,2300
215000,9600,4,390,9,3.27,40.8,85,2110,19.2,10750
60000,3490,9,350,1,3.27,44.3,90,2085,21.7,3000
23000,37000,7,110,4,3.27,43.4,90,2335,23.7,1150
55250,7781,3,220,6,3.27,36.4,121,2950,19.9,2762.5
58000,7758,2,110,5,3.19,30,146,3250,21.8,2900
66000,8000,3,150,3,3.52,44.6,91,1850,13.8,3300
55000,32000,7,223,5,3.19,40.9,85,1835,17.3,2750
89730,12100,9,500,1,3.52,33.8,97,2145,18,4486.5
108000,26811,6,350,1,2.19,29.8,89,1845,15.3,5400
314100,13500,3,320,3,3.52,32.7,168,2910,11.4,15705
125000,16500,39,350,1,2.19,23.7,70,2420,12.5,6250
18800,10401,8,100,5,3.52,35,122,2500,15.1,940
417000,13000,5,750,14,3.19,23.6,140,2905,14.3,20850
105000,20500,4,400,6,3.52,32.4,107,2290,17,5250
20000,19211,6,110,4,3.21,27.2,135,2490,15.7,1000
88000,22500,10,350,1,3.23,26.6,151,2635,16.4,4400
47000,14009,2,125,6,3.39,25.8,156,2620,14.4,2350
95000,11000,2,220,6,3.29,23.5,173,2725,12.6,4750
108000,2982,3,150,3,3.29,30,135,2385,12.9,5400
186100,12000,3,390,9,3.29,39.1,79,1755,16.9,9305
81500,3000,1,125,4,3.29,39,86,1875,16.4,4075
20000,30806,5,100,6,3.29,35.1,81,1760,16.1,1000
15000,55000,13,150,6,3.29,32.3,97,2065,17.8,750
39000,5000,5,150,6,3.29,37,85,1975,19.4,1950
102500,29000,5,350,1,3.47,37.7,89,2050,17.3,5125
87000,15000,7,350,1,3.47,34.1,91,1985,16,4350
118000,14500,3,400,6,3.27,34.7,105,2215,14.9,5900
131100,6200,4,350,1,3.27,34.4,98,2045,16.2,6555
85000,15000,7,250,4,3.27,29.9,98,2380,20.7,4250
108000,26811,6,350,1,3.27,33,105,2190,14.2,5400
131100,6200,4,350,1,3.27,34.5,100,2320,15.8,6555
42000,19000,5,160,4,3.27,33.7,107,2210,14.4,2100
45000,15000,4,110,4,3.19,32.4,108,2350,16.8,2250
87000,15000,7,350,1,3.52,32.9,119,2615,14.8,4350
102500,29000,5,350,1,3.19,31.6,120,2635,18.3,5125
255000,2200,3,310,16,3.52,28.1,141,3230,20.4,12750
78700,3710,2,160,0,2.19,30.7,145,3160,19.6,3935
62800,38400,7,250,4,3.52,25.4,168,2900,12.6,3140
35000,18000,6,150,6,2.19,24.2,146,2930,13.8,1750
33800,17000,5,150,6,3.52,22.4,231,3415,15.8,1690
125000,21000,11,250,11,3.19,26.6,350,3725,19,6250
146000,4700,5,410,1,3.52,20.2,200,3060,17.1,7300
569400,3174,6,899,8,3.21,17.6,225,3465,16.6,28470
1900000,1700,6,1800,17,3.23,28,112,2605,19.6,95000
600000,230,1,650,11,3.39,27,112,2640,18.6,30000
185000,3000,2,200,9,3.29,34,112,2395,18,9250
32000,32000,5,100,5,3.29,31,112,2575,16.2,1600
38000,21000,4,125,5,3.29,29,135,2525,16,1900
35000,38717,5,150,6,3.29,27,151,2735,18,1750
42000,1999,3,150,5,3.29,24,140,2865,16.4,2100
9350,39822,13,150,0,3.29,23,151,3035,20.5,467.5
330000,7500,5,650,11,3.29,36,105,1980,15.3,16500
36500,23000,7,100,5,3.47,37,91,2025,18.2,1825
38000,17376,5,100,5,3.47,31,91,1970,17.6,1900
75000,33000,8,350,1,3.27,38,105,2125,14.7,3750
255000,2200,3,310,16,3.27,36,98,2125,17.3,12750
42000,19000,5,160,4,3.27,36,120,2160,14.5,2100
230000,9500,4,300,8,3.27,36,107,2205,14.5,11500
31500,20000,8,160,0,3.27,34,108,2245,16.9,1575
35000,18000,6,150,6,3.27,38,91,1965,15,1750
62800,38400,7,250,4,3.19,32,91,1965,15.7,3140
46000,35000,16,350,1,3.52,38,91,1995,16.2,2300
109900,8600,5,350,1,3.19,25,181,2945,16.4,5495
9350,39822,13,150,0,3.52,38,262,3015,17,467.5
35000,18000,5,150,6,2.19,26,156,2585,14.5,1750
65000,18000,3,160,6,3.52,22,232,2835,14.7,3250
175000,1800,2,295,15,2.19,32,144,2665,13.9,8750
126000,23000,4,350,1,3.52,36,135,2370,13,6300
25000,29000,9,125,4,3.19,27,151,2950,17.3,1250
89000,5000,2,150,4,3.52,27,140,2790,15.6,4450
160000,7500,2,350,1,3.21,44,97,2130,24.6,8000
130000,15000,2,200,6,3.23,32,135,2295,11.6,6500
33500,26000,12,125,4,3.39,28,120,2625,18.6,1675
128000,8000,3,150,3,2.68,31,119,2720,19.4,6400
143000,7000,3,350,1,2.68,18,307,3504,12,7150
31000,31464,9,135,6,3.47,15,350,3693,11.5,1550
72000,7419,3,150,7,3.4,18,318,3436,11,3600
108500,10000,2,200,0,3.4,16,304,3433,12,5425
74500,10000,4,220,6,3.4,17,302,3449,10.5,3725
24000,6300,4,100,6,3.4,15,429,4341,10,1200
80000,17000,3,220,6,3.4,14,454,4354,9,4000
81000,22000,3,220,6,3.4,14,440,4312,8.5,4050
115000,15000,5,350,1,2.8,14,455,4425,10,5750
130000,15000,2,200,6,2.8,15,390,3850,8.5,6500
33500,26000,12,125,4,3.19,15,383,3563,10,1675
128000,8000,3,150,3,3.19,14,340,3609,8,6400
143000,7000,3,350,1,3.19,15,400,3761,9.5,7150
31000,31464,9,135,6,3.39,14,455,3086,10,1550
72000,7419,3,150,7,3.39,24,113,2372,15,3600
108500,10000,2,200,0,3.39,22,198,2833,15.5,5425
74500,10000,4,220,6,3.03,18,199,2774,15.5,3725
24000,6300,4,100,6,3.11,21,200,2587,16,1200
80000,17000,3,220,6,3.11,27,97,2130,14.5,4000
81000,22000,3,220,6,3.23,26,97,1835,20.5,4050
115000,15000,5,350,1,3.23,25,110,2672,17.5,5750
56500,10000,2,110,5,3.39,24,107,2430,14.5,2825
75000,16000,4,220,6,3.23,25,104,2375,17.5,3750
72000,32542,6,150,3,3.23,26,121,2234,12.5,3600
73000,7461,4,150,7,3.23,21,199,2648,15,3650
69500,28000,6,200,6,3.39,10,360,4615,14,3475
78500,9800,3,160,0,2.68,10,307,4376,15,3925
87000,7000,2,160,0,2.68,11,318,4382,13.5,4350
40000,16688,6,180,0,3.47,9,304,4732,18.5,2000
145000,16000,5,300,10,3.4,27,97,2130,14.5,7250
265000,12900,2,650,1,3.4,28,140,2264,15.5,13250
235000,7000,4,300,8,3.4,25,113,2228,14,11750
400000,3000,6,750,14,3.4,25,98,2046,19,20000
30000,11000,13,110,4,3.4,19,232,2634,13,1500
140000,14000,5,200,9,3.4,16,225,3439,15.5,7000
98000,17000,3,250,3,2.8,17,250,3329,15.5,4900
74500,5432,6,350,1,2.8,19,250,3302,15.5,3725
75000,3419,3,200,0,3.19,18,232,3288,15.5,3750
27500,25757,8,125,5,3.19,14,350,4209,12,1375
10200,71474,12,150,0,3.19,14,400,4464,11.5,510
57000,17000,5,150,6,3.39,14,351,4154,13.5,2850
21000,34688,13,160,0,3.39,14,318,4096,13,1050
68500,8100,3,160,6,3.39,12,383,4955,11.5,3425
174500,7900,3,250,9,3.03,13,400,4746,12,8725
108000,20000,5,350,1,3.11,13,400,5140,12,5400
32000,32000,5,100,5,3.11,18,258,2962,13.5,1600
38000,21000,4,125,5,3.23,22,140,2408,19,1900
35000,38717,5,150,6,3.23,19,250,3282,15,1750
75000,3419,3,200,0,3.39,18,250,3139,14.5,3750
400000,3000,6,750,14,3.23,23,122,2220,14,20000
50000,12000,4,150,7,3.23,28,116,2123,14,2500
118000,12000,7,535,1,3.23,30,79,2074,19.5,5900
27500,25757,8,125,5,3.39,30,88,2065,14.5,1375
33000,17525,5,125,5,2.68,31,71,1773,19,1650
150000,9000,4,200,9,2.68,35,72,1613,18,7500
70000,5000,4,220,6,3.47,27,97,1834,19,3500
105000,13200,6,350,1,3.4,26,91,1955,20.5,5250
135000,5000,4,400,6,3.4,24,113,2278,15.5,6750
140000,7500,4,400,6,3.4,25,97.5,2126,17,7000
26000,28000,8,110,5,3.4,23,97,2254,23.5,1300
230000,1100,4,390,9,3.4,20,140,2408,19.5,11500
53000,25000,5,125,4,3.4,21,122,2226,16.5,2650
76000,7500,4,150,6,2.8,13,350,4274,12,3800
135000,7000,4,400,6,2.8,14,400,4385,12,6750
45000,10200,4,125,6,3.19,15,318,4135,13.5,2250
60000,3500,4,150,6,3.19,14,351,4129,13,3000
